==============================================================================================================
                                              LNO-AFQMC Results                                               
==============================================================================================================
Frag      LAS Center  LAS_SIZE      E(MP2)     E(CCSD)    E(AFQMC)     Error   t(CCSD)  t(AFQMC)
  45               C       157  -0.12052870  -0.11998905   -0.126432  0.000110     98.54   1237.49
  46               C       141  -0.11708312  -0.11771730   -0.124052  0.000133     62.25   2703.58
  47               C       148  -0.11642551  -0.11898080   -0.125109  0.000108     66.92   1030.90
  48               C       116  -0.11258363  -0.11691994   -0.122524  0.000129     26.65    405.78
  49               C       141  -0.11705388  -0.11769147   -0.123602  0.000073     56.64    779.38
  50               C       116  -0.11258743  -0.11692477   -0.122520  0.000082     25.80    406.08
  51               C       139  -0.11683142  -0.11754432   -0.123430  0.000129     46.72    732.13
  52               C       148  -0.11642207  -0.11897835   -0.125218  0.000144     65.16   1019.68
  53               C       116  -0.11259337  -0.11693423   -0.122471  0.000103     25.77    405.63
  54               C       116  -0.11257811  -0.11691989   -0.122410  0.000116     26.51    405.33
  55               H        40  -0.01762939  -0.01989443   -0.020388  0.000023      2.83     32.98
  56               H        40  -0.01762689  -0.01989108   -0.020398  0.000031      2.83     31.57
  57               H        43  -0.01787556  -0.02007284   -0.020596  0.000023      3.04     33.05
  58               H        39  -0.01758665  -0.01986117   -0.020364  0.000036      2.89     31.42
  59               H        40  -0.01765012  -0.01991855   -0.020392  0.000023      2.75     31.51
  60               H        43  -0.01787112  -0.02006922   -0.020540  0.000017      2.98     33.00
  61               H        43  -0.01788187  -0.02008013   -0.020535  0.000020      2.94     32.98
  62               H        39  -0.01759936  -0.01987607   -0.020345  0.000029      3.06     31.47
  63               H        40  -0.01763625  -0.01990274   -0.020408  0.000024      2.76     31.46
  64               H        39  -0.01761923  -0.01990052   -0.020461  0.000033      2.88     31.41
  65               H        39  -0.01739910  -0.01963647   -0.020112  0.000030      2.93     31.53
  66               H        43  -0.01788039  -0.02007916   -0.020576  0.000024      3.16     32.86
  67               H        43  -0.01787584  -0.02007312   -0.020610  0.000033      2.98     32.99
  68               H        40  -0.01763066  -0.01989588   -0.020350  0.000020      2.87     31.38
  69               H        40  -0.01764172  -0.01990870   -0.020449  0.000030      2.86     31.45
  70               H        43  -0.01787927  -0.02007794   -0.020506  0.000024      3.02     32.95
  71               H        39  -0.01759407  -0.01986998   -0.020347  0.000021      3.04     31.40
  72               H        40  -0.01764262  -0.01991026   -0.020424  0.000027      2.89     31.58
--------------------------------------------------------------------------------------------------------------
 Sum                            -6.66209680  -6.76465213   -7.102267  0.000758   8764.57  55431.79
==============================================================================================================

LNO Threshold:          (3.00e-04, 3.00e-05)
MAX. Orbitals:          167
